month,value_ZJ,uncertainty_ZJ
2013-08,-40.267826,7.126212
2013-09,-35.051903,7.126212
2013-10,-21.227675,7.126212
2013-11,-4.099220,7.126212
2013-12,18.868531,7.126212
2014-01,24.526553,7.126212
2014-02,42.310708,7.126212
2014-03,44.193276,7.126212
2014-04,53.849220,7.126212
2014-05,49.826302,7.126212
2014-06,26.060429,7.126212
2014-07,-6.034227,7.126212
2014-08,-33.488446,7.126212
2014-09,-34.573144,7.126212
2014-10,-25.001075,7.126212
2014-11,-21.630592,7.126212
2014-12,5.304943,7.126212
2015-01,17.910737,7.126212
2015-02,44.338360,7.126212
2015-03,69.933731,7.126212
2015-04,71.866824,7.126212
2015-05,64.895834,7.126212
2015-06,27.104344,7.126212
2015-07,9.716689,7.126212
2015-08,-3.802942,7.126212
2015-09,-9.664343,7.126212
2015-10,-6.909662,7.126212
2015-11,1.301095,7.126212
2015-12,24.433056,7.126212
2016-01,37.210659,7.126212
2016-02,49.395094,7.126212
2016-03,73.480444,7.126212
2016-04,65.540103,7.126212
2016-05,61.810000,7.126212
2016-06,22.395640,7.126212
2016-07,-11.348749,7.126212
2016-08,-33.377094,7.126212
2016-09,-27.302026,7.126212
2016-10,-26.711140,7.126212
2016-11,4.237501,7.126212
2016-12,23.118805,7.126212
2017-01,47.023410,7.126212
2017-02,63.197665,7.126212
2017-03,65.416203,7.126212
2017-04,79.019976,7.126212
2017-05,67.640922,7.126212
2017-06,39.315046,7.126212
2017-07,23.068767,7.126212
2017-08,-0.803925,7.126212
2017-09,-10.833884,7.126212
2017-10,7.442937,7.126212
2017-11,19.304250,7.126212
2017-12,23.314837,7.126212
2018-01,40.324811,7.126212
2018-02,64.742247,7.126212
2018-03,81.107261,7.126212
2018-04,84.630663,7.126212
2018-05,58.785060,7.126212
2018-06,44.689586,7.126212
2018-07,27.701098,7.126212
2018-08,4.807392,7.126212
2018-09,4.837069,7.126212
2018-10,6.979823,7.126212
2018-11,26.542086,7.126212
2018-12,51.602534,7.126212
2019-01,71.047036,7.126212
2019-02,82.468784,7.126212
2019-03,95.862361,7.126212
2019-04,104.283304,7.126212
2019-05,84.430361,7.126212
2019-06,58.360188,7.126212
2019-07,29.940134,7.126212
2019-08,13.592290,7.126212
2019-09,12.896093,7.126212
2019-10,15.220600,7.126212
2019-11,37.324899,7.126212
2019-12,56.041225,7.126212
2020-01,81.398663,7.126212
2020-02,84.112950,7.126212
2020-03,91.019166,7.126212
2020-04,107.718485,7.126212
2020-05,85.435606,7.126212
2020-06,57.045363,7.126212
2020-07,26.901289,7.126212
2020-08,-7.678968,7.126212
2020-09,-0.281351,7.126212
2020-10,18.887947,7.126212
2020-11,23.146415,7.126212
2020-12,42.752492,7.126212
2021-01,63.212795,7.126212
2021-02,95.915381,7.126212
2021-03,91.080777,7.126212
2021-04,83.309661,7.126212
2021-05,91.431938,7.126212
2021-06,71.674288,7.126212
2021-07,51.105545,7.126212
2021-08,6.134638,7.126212
2021-09,22.624582,7.126212
2021-10,29.369337,7.126212
2021-11,30.033121,7.126212
2021-12,57.385690,7.126212
2022-01,84.918959,7.126212
2022-02,91.682684,7.126212
2022-03,92.678671,7.126212
2022-04,93.490345,7.126212
2022-05,108.074392,7.126212
2022-06,85.179573,7.126212
2022-07,43.176691,7.126212
2022-08,38.314876,7.126212
2022-09,42.394951,7.126212
2022-10,37.106114,7.126212
2022-11,53.459020,7.126212
2022-12,53.253782,7.126212
2023-01,64.305811,7.126212
2023-02,91.503689,7.126212
2023-03,99.993712,7.126212
2023-04,119.185080,7.126212
2023-05,100.931779,7.126212
2023-06,80.626146,7.126212
2023-07,56.564510,7.126212
2023-08,45.526187,7.126212
2023-09,42.856790,7.126212
2023-10,56.735137,7.126212
2023-11,66.724002,7.126212
2023-12,88.178609,7.126212
2024-01,111.793197,7.126212
2024-02,135.749418,7.126212
2024-03,139.566513,7.126212
2024-04,133.281384,7.126212
2024-05,136.083077,7.126212
2024-06,104.255584,7.126212
2024-07,58.855191,7.126212
2024-08,53.960001,7.126212
2024-09,65.198141,7.126212
2024-10,67.987193,7.126212
2024-11,55.539903,7.126212
2024-12,94.021072,7.126212
2025-01,103.589254,7.126212
2025-02,134.064497,7.126212
2025-03,141.423656,7.126212
2025-04,153.623441,7.126212
2025-05,147.873246,7.126212
2025-06,128.591553,7.126212
2025-07,96.620852,7.126212
2025-08,90.927510,7.126212
2025-09,88.918670,7.126212
2025-10,96.157458,7.126212
2025-11,105.384534,7.126212
2025-12,112.634301,7.126212
2026-01,123.646119,7.126212
2026-02,141.310002,7.126212
2026-03,166.318654,7.126212
2026-04,169.013908,7.126212
2026-05,150.662252,7.126212
2026-06,138.463336,7.126212
2026-07,104.784080,7.126212
2026-08,94.894094,7.126212
